n_neighbors,n_components,outliers,silhouette,davies_bouldin,meets_criteria,cluster_sizes,representative_words
5,2,0,0.3546768,0.8419398318506844,False,"[10638, 9778, 9240, 8505, 8282, 7450, 7378, 5464]","['darknet dark web counterfeit drug dread man darkweb sentenced bar', 'weed xanax coke cocaine mg ketamine quality best mdma drug', 'order ticket dispute package pack address mod support question update', 'vendor card new carding sale looking cc lsd paypal credit', 'market dream nightmare account vendor review wall key pgp forum', 'bitcoin wallet deposit help empire btc monero id support pgp', 'scammer empire scam scamming bank exit onion vendor warning link', 'review sample cocaine free test vape samples source mdma coke']"
5,3,0,0.35844803,0.9042794806843975,False,"[11768, 10206, 9785, 8163, 8039, 8010, 5457, 5307]","['weed xanax cocaine coke mg ketamine mdma quality uk price', 'empire mirror invite lsd tried mdma happened know legit bar', 'order package pack question help time address post ordered delivery', 'bitcoin ticket account card deposit bank support carding wallet monero', 'vendor lsd buyer sale buy looking inquiry best seller uk', 'scammer update darknet dark scam web onion forum site warning', 'market dream nightmare empire wall vendor wallstreet street marketplace dreammarket', 'review sample vendor test giveaway mdma free mg lsd experience']"
5,5,0,0.3507224,1.0868134893309283,False,"[12644, 11802, 9929, 7614, 7095, 6980, 6070, 4601]","['weed cocaine xanax coke mg free ketamine mdma uk quality', 'source question dread experience mdma invite lsd tried know happened', 'ticket scammer account deposit pgp support link key mod scam', 'market empire dream nightmare wall darknet vendor drug dark marketplace', 'vendor sale inquiry buyer looking buy seller customer uk mdma', 'order update package pack dispute shipping day ordered address time', 'card bitcoin bank carding monero paypal help id counterfeit fake', 'review vendor test sample feedback mdma mg reviews lsd testing']"
5,10,0,0.35322788,1.1366634880890567,False,"[13079, 11020, 9884, 8398, 6822, 6801, 5978, 4753]","['weed cocaine xanax coke mg free ketamine mdma uk quality', 'source question dread mdma lsd happened ddos know looking legit', 'scammer update pgp link dispute key account mod scam dark', 'bitcoin card ticket deposit bank monero carding help btc wallet', 'market empire dream nightmare wall vendor marketplace wallstreet street link', 'vendor sale buyer inquiry looking customer reliable seller mdma uk', 'order package pack shipping ordered vacation delivery ordering time tried', 'review vendor test sample feedback mdma mg reviews lsd testing']"
10,2,0,0.384655,0.8358032060465714,True,"[11437, 10819, 9482, 8714, 7730, 6535, 6372, 5646]","['vendor order package pack shipping lsd international mdma sale buyer', 'weed xanax cocaine coke mg ketamine drug quality mdma cannabis', 'scammer dispute dread scam help question need forum exit invite', 'source experience bar mdma lsd tried happened legit know looking', 'bitcoin monero link address wallet update dark darknet web onion', 'ticket card empire account support bank deposit carding pgp key', 'review sample free vendor giveaway test mdma samples lsd feedback', 'market dream nightmare mirror empire wall vendor marketplace samsara wallstreet']"
10,3,0,0.3684605,0.923493252879469,False,"[12657, 10546, 8782, 8073, 7985, 7793, 5660, 5239]","['weed cocaine xanax coke mg free ketamine mdma uk quality', 'dread question source invite forum ddos sub mdma bar happened', 'ticket empire account help support deposit monero pgp link key', 'vendor scammer scam exit sale buyer looking scamming lsd inquiry', 'bitcoin card bank carding paypal darknet dark web fake counterfeit', 'order dispute update package pack experience day ordered refund time', 'market dream nightmare mirror empire wall vendor samsara marketplace wallstreet', 'review vendor sample test feedback mdma dutchdrugz milkman reviews cdnven']"
10,5,0,0.32459328,1.2266709691095798,False,"[11557, 10685, 10443, 7851, 7661, 7118, 6425, 4995]","['vendor order package pack experience shipping international delivery ordered buyer', 'bitcoin ticket account card help deposit bank monero pgp carding', 'question dread ddos bar know lsd mdma happened need looking', 'scammer update dispute link scam darknet dark web onion site', 'xanax cocaine coke mg ketamine drug pill mdma powder source', 'market empire dream nightmare mirror wall vendor samsara working marketplace', 'weed free cannabis new price quality sale thc sample giveaway', 'review vendor sample test feedback mdma milkman reviews mg lsd']"
10,10,0,0.32415548,1.211183492243302,False,"[11419, 10661, 9176, 8519, 8020, 7635, 6360, 4945]","['bitcoin card account bank monero pgp carding help key link', 'question dread ddos know bar lsd happened mdma sub heard', 'vendor scammer experience scam scamming international uk lsd looking inquiry', 'ticket order dispute support deposit update package address pack mod', 'market empire dream nightmare darknet dark mirror wall vendor web', 'xanax cocaine coke mg ketamine drug pill mdma powder meth', 'weed free cannabis new price quality sale sample giveaway thc', 'review vendor sample test feedback mdma milkman reviews mg testing']"
15,2,0,0.39803708,0.7869398625285215,False,"[10530, 10145, 9022, 8906, 7236, 7156, 7117, 6623]","['weed xanax cocaine coke mg ketamine drug mdma uk pill', 'dread bar tried know happened ddos mdma lsd day heard', 'vendor sale experience new mdma uk lsd best looking price', 'order scammer package scam update pack warning exit scamming address', 'bitcoin card account bank carding link pgp key paypal credit', 'ticket dispute empire deposit support help monero mod wallet btc', 'market dream nightmare darknet dark mirror onion empire web wall', 'review sample free vendor giveaway test vape mdma lsd mg']"
15,3,0,0.36752388,0.9232025602439319,False,"[12817, 10265, 8501, 8230, 7707, 7005, 6916, 5294]","['weed cocaine xanax coke mg free ketamine mdma uk quality', 'question dread lsd bar ddos happened mdma know looking need', 'vendor scammer scam scamming exit uk looking sale inquiry buyer', 'ticket dispute help support account deposit pgp key monero address', 'bitcoin card bank carding paypal web darknet guide onion dark', 'market empire dream nightmare mirror wall link vendor working samsara', 'order update package pack experience ordered shipping vacation delivery time', 'review vendor sample test mdma giveaway feedback lsd milkman mg']"
15,5,0,0.34303626,1.0714977398443277,False,"[13272, 10685, 8739, 7728, 7633, 6913, 6895, 4870]","['weed cocaine xanax coke mg free mdma ketamine uk quality', 'question dread bar lsd mdma know happened ddos looking legit', 'vendor experience scammer uk international looking lsd inquiry buyer reliable', 'bitcoin card bank monero carding pgp key help wallet account', 'market empire dream nightmare update mirror wall vendor samsara working', 'scammer link dark darknet web onion scam site forum warning', 'ticket order dispute support deposit address package pack mod day', 'review vendor sample test mdma feedback mg reviews lsd testing']"
15,10,0,0.33581036,1.129972556777264,False,"[13605, 11222, 9697, 9691, 6727, 5972, 4999, 4822]","['weed cocaine xanax coke mg free mdma ketamine uk quality', 'dread question invite bar ddos know lsd happened sub mdma', 'vendor scammer scam experience scamming uk international exit lsd looking', 'bitcoin card account bank pgp carding monero help key wallet', 'ticket order dispute support deposit address package pack mod refund', 'empire link update darknet dark mirror onion web forum site', 'market dream nightmare wall empire samsara vendor wallstreet marketplace street', 'review vendor sample test feedback mdma reviews mg testing lsd']"
30,2,0,0.38872635,0.800344997011021,True,"[10418, 10051, 9792, 9103, 8563, 7266, 6028, 5514]","['weed cocaine xanax coke mg ketamine free mdma uk drug', 'vendor experience new mdma sale shipping lsd international uk source', 'pack bar tried lsd mdma happened know anybody heard legit', 'dispute order help question mod dread address deposit refund day', 'scammer darknet pgp key update link scam dark web onion', 'bitcoin ticket account card empire bank monero carding wallet support', 'review sample vendor vape test giveaway mdma free mg feedback', 'market dream nightmare mirror empire wall samsara vendor marketplace wallstreet']"
30,3,0,0.32662913,1.0770261171916786,False,"[13614, 11384, 9185, 7256, 7238, 7045, 5596, 5417]","['weed cocaine xanax coke mdma uk mg best free ketamine', 'experience source question lsd anybody know tried mdma dread bar', 'market vendor dream nightmare inquiry new scammer wall buyer customer', 'card bank carding paypal scammer id fake counterfeit credit guide', 'bitcoin ticket help support deposit monero pgp account wallet key', 'order update dispute pack package day vacation shipping time delivery', 'empire link darknet dark market mirror onion forum web working', 'review sample vendor test giveaway mdma mg feedback milkman reviews']"
30,5,0,0.31379578,1.1720856327535873,False,"[12056, 11035, 9658, 9043, 7609, 6550, 5863, 4921]","['vendor order scammer package pack scam experience shipping scamming international', 'question dread lsd know mdma happened ddos bar sub guy', 'ticket dispute help support account pgp deposit key address mod', 'market empire dream nightmare update darknet dark mirror onion wall', 'cocaine xanax coke ketamine mg drug pill powder meth mdma', 'weed free cannabis new price sale uk quality thc mdma', 'bitcoin card bank carding monero paypal wallet guide id credit', 'review vendor sample test mdma feedback milkman mg cdnven testing']"
30,10,0,0.33413622,1.1348978850989675,False,"[13405, 11178, 10963, 7480, 6838, 6494, 5495, 4882]","['weed cocaine xanax coke free mg mdma ketamine uk price', 'question dread lsd mdma know happened bar ddos source need', 'vendor order package pack experience shipping international uk lsd vacation', 'market empire dream nightmare update mirror wall vendor working samsara', 'ticket dispute help support deposit account pgp address key mod', 'scammer link darknet dark web onion scam site forum warning', 'bitcoin card bank carding monero paypal id guide wallet credit', 'review vendor sample test mdma feedback milkman mg cdnven testing']"
50,2,0,0.39686993,0.794536094513207,True,"[11896, 10953, 9245, 9070, 8782, 6432, 5500, 4857]","['update dread question experience ddos know sub lsd happened mdma', 'weed xanax cocaine coke mg ketamine uk mdma drug cannabis', 'vendor sale new mdma uk lsd shop looking international inquiry', 'bitcoin ticket account help card deposit dispute support bank carding', 'order scammer package scam pack address warning exit scammed scamming', 'review sample free vendor giveaway test vape samples mdma mg', 'empire link darknet dark key mirror onion pgp forum web', 'market dream nightmare wall samsara vendor street wallstreet marketplace empire']"
50,3,0,0.33372977,0.9827498151971992,False,"[12164, 11045, 8619, 8295, 7194, 7149, 7087, 5182]","['weed cocaine xanax coke mg free ketamine mdma uk quality', 'bitcoin ticket account card bank carding monero wallet key support', 'vendor scammer scam scamming exit looking inquiry sale buy buyer', 'experience source lsd tried mdma bar anybody happened know heard', 'order dispute update pack package mod day shipping time refund', 'help question dread need invite id tails ddos guide deposit', 'market empire dream nightmare mirror wall vendor samsara working marketplace', 'review vendor sample giveaway test mdma feedback milkman mg cdnven']"
50,5,0,0.34085593,1.144589301876061,False,"[13277, 10590, 9758, 7486, 7299, 6787, 6732, 4806]","['weed cocaine xanax coke free mg ketamine mdma uk quality', 'question dread mdma lsd happened bar ddos looking legit need', 'bitcoin ticket account card help deposit bank carding monero pgp', 'vendor looking sale inquiry reliable buyer uk international lsd mdma', 'order dispute update pack package experience day ordered refund time', 'market empire dream nightmare mirror wall vendor working marketplace link', 'scammer link dark darknet scam web onion site forum warning', 'review vendor sample test mdma feedback mg cdnven testing reviews']"
50,10,0,0.3365197,1.145812989287946,False,"[13207, 11265, 8858, 8794, 6892, 6806, 6117, 4796]","['weed cocaine xanax coke free mg mdma ketamine uk quality', 'dread question know lsd mdma ddos happened bar sub need', 'bitcoin card account bank carding monero pgp help wallet key', 'vendor experience uk international sale looking lsd inquiry mdma buyer', 'market empire dream nightmare mirror wall vendor working marketplace link', 'order ticket dispute support update package pack address mod day', 'scammer link dark darknet scam web onion site forum warning', 'review vendor sample test mdma feedback mg cdnven reviews testing']"
80,2,0,0.40920472,0.760254205257636,False,"[10817, 10778, 8959, 8832, 7334, 7110, 6721, 6184]","['weed xanax cocaine coke mg ketamine uk mdma cannabis drug', 'dread lsd mdma bar know happened ddos heard anybody day', 'vendor sale new mdma experience lsd uk best shop looking', 'order scammer scam package pack warning exit address scamming scammed', 'ticket empire dispute support help deposit link mod working forum', 'market dream nightmare update darknet dark mirror web wall drug', 'bitcoin card bank carding account monero key wallet pgp paypal', 'review sample vendor giveaway free test vape mdma feedback mg']"
80,3,0,0.34972036,0.978926621890241,False,"[12474, 11282, 10109, 7578, 7233, 6650, 6195, 5214]","['weed cocaine xanax coke mg free ketamine mdma uk quality', 'dread question experience lsd mdma sub ddos happened bar day', 'ticket dispute empire account link scammer support mod pgp key', 'bitcoin card bank carding monero help deposit wallet btc paypal', 'vendor sale scammer inquiry new buyer customer mdma looking seller', 'order package pack shipping ordered delivery fake ordering anybody passport', 'market dream update nightmare empire wall vendor marketplace wallstreet street', 'review sample vendor test giveaway feedback mdma reviews cdnven mg']"
80,5,0,0.34985518,1.1262778965541944,False,"[13139, 10505, 10035, 7510, 7411, 6829, 6478, 4828]","['weed cocaine xanax coke mg free mdma ketamine uk quality', 'question dread lsd mdma happened bar legit looking ddos need', 'bitcoin ticket account card help deposit bank monero carding pgp', 'update scammer link dark darknet scam web onion site forum', 'vendor sale looking inquiry buyer reliable uk scammer buy best', 'market empire dream nightmare mirror wall vendor working marketplace link', 'order dispute package pack experience day ordered refund delivery vacation', 'review vendor sample test feedback mdma mg reviews cdnven testing']"
80,10,0,0.34413174,1.1131325081638883,False,"[13045, 11680, 8761, 8154, 7585, 7120, 5580, 4810]","['weed cocaine xanax coke free mg ketamine mdma uk quality', 'dread question mdma lsd know bar happened ddos looking need', 'vendor experience international sale looking uk inquiry lsd buyer mdma', 'scammer pgp key account link dark scam web darknet onion', 'market empire dream update nightmare mirror wall vendor working marketplace', 'ticket order dispute support help deposit address package pack mod', 'bitcoin card bank carding monero wallet paypal id credit guide', 'review vendor sample test feedback mdma reviews mg cdnven testing']"
