Topic,Labels
-1,outliers
0,reviews vendor
1,phishing - fraud - scammer
2,order
3,ask help
4,empire market
5,dream - nightmare - dream market
6,darknet
7,mdma - reviews vendor
8,heard - anyone - happened
9,bitcoin
10,credit card
11,tor browser
12,reviews vendor
13,reviews vendor
14,new market
15,ask help - moderator support
16,pgp key
17,deposit - address - deposited
18,fake IDs
19,find vendor
20,order
21,insults
22,ketamine - reviews vendor
23,ticket support - ask help
24,counterfeit money
25,access problems
26,tail - electrum - tails
27,mushrooms - shrooms - mushroom
28,btc xmr - xmr - btc
29,dread dread - dread - sub dread
30,bitcoin
31,order
32,dnm - dnms - dn
33,transfer - paypal transfer - paypal
34,ddos attack - DDoS
35,fraud
36,benzos - benzo - rc
37,market - apollon market - apollon
38,opsec opsec - opsec - opsec question
39,ask help
40,ask help
41,find vendor
