Topic,Labels
-1,outliers
0,xanax - lsd - weed
1,phishing - scamming
2,order
3,ask help
4,empire market
5,dream - nightmare - dream market
6,darknet
7,mdma - reviews vendor
8,heard - anyone - happened
9,bitcoin
10,credit card
11,tor browser
12,crosspost vendor
13,reviews vendor
14,new market
15,ask help - moderator support
16,pgp key
17,deposit - address - deposited
18,fake IDs
19,cryphtonia market
20,wsm market
21,bunk bar
22,ketamine - reviews vendor
23,ticket support - ask help
24,counterfeit money
25,access problems
26,tail - electrum - tails
27,mushrooms - shrooms - mushroom
28,btc xmr - xmr - btc
29,dread dread - dread - sub dread
30,withdrawl - withdraw - withdrawal
31,escrow service
32,dnm - dnms - dn
33,transfer - paypal transfer - paypal
34,ddos attack
35,fraud
36,benzos - benzo - rc
37,market - apollon market - apollon
38,opsec opsec - opsec - opsec question
39,mirror link
40,link
41,cmgc - invite
