Topic,Labels
-1,outliers
0,marijuana
1,ask help
2,order
3,empire market
4,new market
5,fraud - scammer
6,darknet
7,mdma - reviews vendor
8,xanax
9,lsd
10,reviews vendor
11,bitcoin
12,credit card
13,dread
14,ask help - moderator support
15,cocaine
16,reviews vendor
17,new market
18,pgp key
19,bitcoin
20,insults
21,oxycodone
22,fake IDs
23,drugs - drugsuk - drug
24,cocaine
25,pills - xtc
26,counterfeit money
27,ketamine
28,order
29,methamphetamine
30,ticket support - ask help
31,hacking - cybercrime
32,access problems
33,adderall - pills
34,btc - btc xmr - xmr
35,tail - tails - electrum
36,mushrooms
37,dread
38,find vendor
39,dread - new market
40,withdrawal - withdrawl - withdraw
41,order
42,heroin
43,har - noen - de
44,dnm - dnms - dn
45,wallstreet
46,ddos attack - DDoS
47,paypal transfer - paypal - transfer
48,heard - anyone - happened
49,rc - benzo - benzos
50,fraud - scammer
51,dread
52,order
53,bank drop - bank log - bank
54,site - onion site - onion
55,phishing
56,proper names market
57,ask help
58,ask help
59,ask help
60,fentanyl - find vendor
61,cgmc - invite - invite code
62,powder - alprazolam - alprazolam powder
63,find vendor
64,dread
65,research chemical - research - chemical
66,tor browser
67,methamphetamine - pills
